GEARS - Depth Perception,GEARS - Bimanual Dexterity,GEARS - Efficiency,GEARS - Force Sensitivity,GEARS - Autonomy,GEARS - Robotic Control,label
2,1.666666667,2,1.333333333,2.666666667,2.333333333,11
1.333333333,1,1,1,1,1.333333333,16
3,3,2,2.333333333,2.666666667,2.666666667,49
2.333333333,1.666666667,1.666666667,2,1.666666667,1.666666667,59
1,1,1,1,1,1,74
2.5,3,2,2,2.5,2,78
4,4,4,4.5,4.5,5,91
2.5,3,2.5,2.5,3,2.5,113
3,3,2.5,2.5,3,3,130
3,2.5,2.5,2,2.5,2.5,143
4,5,4,4,5,4,152
4,5,5,5,4,5,164
5,5,5,4,5,5,171
2,1,1,1,1,1,176
4,4,3,4,4,4,192
4,4,4,3,4,3,194
4,4,3,3,4,3,207
1,1,1,1,1,1,236
2,1,2,2,2,1,237
2,1,1,1,1,1,240
2,1,1,1,1,1,253
5,5,5,4,5,5,257
3,4,3,4,4,3,258
1.33,1.67,1,1.67,1.33,1,1
0,0,0,0,0,0,2
1.67,1,1,1.67,1.33,1.33,3
4.33,4.33,4.33,4.33,5,4.67,4
2.33,1.67,2,2,3,2.33,5
3.33,3.33,2.67,3.33,4,3.67,6
4.67,4,4,4.67,5,4.67,7
2,2,1.33,1,1.33,2.33,8
1.33,1.67,1.33,1.33,1,1.67,9
2.67,2.67,2.67,2.33,3.33,3,10
1.33,1.67,1,1.33,2,1.33,1111
2.67,2.67,1.67,2.67,2.67,2.33,12
3.67,3.33,3,3,3.67,3.33,13
1.67,2,1,1.67,1.67,2,14
5,5,5,4.67,5,4.67,15
1.33,1,1.33,1,1,1.67,1611
1.67,1.67,1,2,2.33,1.67,17
4.33,4.33,4,4,4.33,4.33,18
4,3,3,4.5,4,4,19
4,3.5,4.5,4,4.5,4.5,20
